#/global/homes/j/joeschm/st_research/NSTXU_discharges/139047/NSTXU139047.iterdb
#rhot VROT
5.739405999999999675e-02 1.776067999999999884e+05
5.764380999999999672e-02 1.772567999999999884e+05
5.789355999999999669e-02 1.769103999999999942e+05
5.814330999999999666e-02 1.765675000000000000e+05
5.839305999999999663e-02 1.762282000000000116e+05
5.864280999999999661e-02 1.758923999999999942e+05
5.889255999999999658e-02 1.755601000000000058e+05
5.914230999999999655e-02 1.752312000000000116e+05
5.939206000000000346e-02 1.749057999999999884e+05
5.964181000000000343e-02 1.745838999999999942e+05
5.989156000000000341e-02 1.742652999999999884e+05
6.014131999999999811e-02 1.739501000000000058e+05
6.039106999999999809e-02 1.736382999999999884e+05
6.064081999999999806e-02 1.733297000000000116e+05
6.089056999999999803e-02 1.730243999999999942e+05
6.114031999999999800e-02 1.727223999999999942e+05
6.139006999999999797e-02 1.724235000000000000e+05
6.163981999999999795e-02 1.721278999999999942e+05
6.188956999999999792e-02 1.718352999999999884e+05
6.213931999999999789e-02 1.715457999999999884e+05
6.238906999999999786e-02 1.712592999999999884e+05
6.263881999999999783e-02 1.709758999999999942e+05
6.288857000000000474e-02 1.706953999999999942e+05
6.313831999999999778e-02 1.704178999999999942e+05
6.338807000000000469e-02 1.701432999999999884e+05
6.363781999999999772e-02 1.698716000000000058e+05
6.388757000000000463e-02 1.696027000000000116e+05
6.413731999999999767e-02 1.693366000000000058e+05
6.438707000000000458e-02 1.690732999999999884e+05
6.463681999999999761e-02 1.688127999999999884e+05
6.488657999999999926e-02 1.685548999999999942e+05
6.513633000000000617e-02 1.682997999999999884e+05
6.538607999999999920e-02 1.680472999999999884e+05
6.563583000000000611e-02 1.677973999999999942e+05
6.588557999999999915e-02 1.675501000000000058e+05
6.613533000000000606e-02 1.673053999999999942e+05
6.638507999999999909e-02 1.670632000000000116e+05
6.663483000000000600e-02 1.668235000000000000e+05
6.688457999999999903e-02 1.665862999999999884e+05
6.713433000000000594e-02 1.663516000000000058e+05
6.738407999999999898e-02 1.661192000000000116e+05
6.763383000000000589e-02 1.658890000000000000e+05
6.788357999999999892e-02 1.656608999999999942e+05
6.813333000000000583e-02 1.654346000000000058e+05
